Webpage,Preprocessed_Text,Preprocessed_Document
fare,['fare'],['fare']
"calendars,",['calendars'],['calendar']
show,['show'],['show']
best,['best'],['best']
flight,['flight'],['flight']
prices,['prices'],['price']
deals,['deals'],['deal']
next,['next'],['next']
days,['days'],['day']
routes.,['routes'],['rout']
also,['also'],['also']
make,['make'],['make']
sure,['sure'],['sure']
alert,['alert'],['alert']
case,['case'],['case']
cheaper,['cheaper'],['cheaper']
travel,['travel'],['travel']
nearby,['nearby'],['nearbi']
airport.,['airport'],['airport']
far,['far'],['far']
accommodation,['accommodation'],['accommod']
"concerned,",['concerned'],['concern']
scour,['scour'],['scour']
hundreds,['hundreds'],['hundr']
websites,['websites'],['websit']
find,['find'],['find']
hotel,['hotel'],['hotel']
rooms,['rooms'],['room']
best,['best'],['best']
"prices,",['prices'],['price']
ensuring,['ensuring'],['ensur']
get,['get'],['get']
flight,['flight'],['flight']
hotel,['hotel'],['hotel']
packages,['packages'],['packag']
allow,['allow'],['allow']
maximum,['maximum'],['maximum']
savings.,['savings'],['save']
doesn’t,['’'],['nt']
end,['end'],['end']
Rest,['rest'],['rest']
assured,['assured'],['assur']
save,['save'],['save']
commute,['commute'],['commut']
curated,['curated'],['curat']
list,['list'],['list']
car,['car'],['car']
rental,['rental'],['rental']
"prices,",['prices'],['price']
brought,['brought'],['brought']
going,['going'],['go']
scores,['scores'],['score']
relevant,['relevant'],['relev']
websites.,['websites'],['websit']
pack,['pack'],['pack']
bags,['bags'],['bag']
get,['get'],['get']
ready,['ready'],['readi']
start,['start'],['start']
flying,['flying'],['fli']
high,['high'],['high']
Fly!,['fly'],['fli']
RECEIVE,['receive'],['receiv']
DEAL,['deal'],['deal']
ALERTS,['alerts'],['alert']
Join,['join'],['join']
million,['million'],['million']
seasoned,['seasoned'],['season']
travelers,['travelers'],['travel']
using,['using'],['use']
Fly.comevery,['fly.comevery'],['flycomeveri']
month,['month'],['month']
find,['find'],['find']
best,['best'],['best']
airfare,['airfare'],['airfar']
deals,['deals'],['deal']
location.,['location'],['locat']
SIGNUP,['signup'],['signup']
Invalid,['invalid'],['invalid']
email,['email'],['email']
format,['format'],['format']
E-mail.,['e-mail'],['email']
Success,['success'],['success']
Thanks,['thanks'],['thank']
"email,",['email'],['email']
add,['add'],['add']
list!,['list'],['list']
BLOGREAD,['blogread'],['blogread']
Coronavirus,['coronavirus'],['coronaviru']
Outbreak:,['outbreak'],['outbreak']
Safety,['safety'],['safeti']
Major,['major'],['major']
International,['international'],['intern']
Airports,['airports'],['airport']
Bag,['bag'],['bag']
Best,['best'],['best']
Easter,['easter'],['easter']
Flight,['flight'],['flight']
Deals,['deals'],['deal']
Avoiding,['avoiding'],['avoid']
Rip-Offs/Frauds,['rip-offs/frauds'],['ripoffsfraud']
Travel,['travel'],['travel']
Search,['search'],['search']
Sites,['sites'],['site']
search,['search'],['search']
sites,['sites'],['site']
find,['find'],['find']
cheapest,['cheapest'],['cheapest']
flights.,['flights'],['flight']
Fare,['fare'],['fare']
Calendars,['calendars'],['calendar']
Fare,['fare'],['fare']
Calendars,['calendars'],['calendar']
show,['show'],['show']
best,['best'],['best']
prices,['prices'],['price']
next,['next'],['next']
days,['days'],['day']
routes.,['routes'],['rout']
Nearby,['nearby'],['nearbi']
Airport,['airport'],['airport']
Savings,['savings'],['save']
cheaper,['cheaper'],['cheaper']
travel,['travel'],['travel']
to/from,['to/from'],['tofrom']
nearby,['nearby'],['nearbi']
"airport,",['airport'],['airport']
we'll,"[""'ll""]",['well']
alert,['alert'],['alert']
Flight,['flight'],['flight']
Hotel,['hotel'],['hotel']
Packages,['packages'],['packag']
search,['search'],['search']
"Expedia,",['expedia'],['expedia']
Orbitz,['orbitz'],['orbitz']
others,['others'],['other']
packages,['packages'],['packag']
save,['save'],['save']
even,['even'],['even']
Save,['save'],['save']
Hotel,['hotel'],['hotel']
Rooms.,['rooms'],['room']
search,['search'],['search']
hundreds,['hundreds'],['hundr']
websites,['websites'],['websit']
find,['find'],['find']
best,['best'],['best']
prices,['prices'],['price']
you.SEARCH,['you.search'],['yousearch']
Save,['save'],['save']
Car,['car'],['car']
Rental.,['rental'],['rental']
search,['search'],['search']
hundreds,['hundreds'],['hundr']
websites,['websites'],['websit']
find,['find'],['find']
best,['best'],['best']
prices,['prices'],['price']
you.SEARCH,['you.search'],['yousearch']
SEEN,['seen'],['seen']
use,['use'],['use']
cookies,['cookies'],['cooki']
improve,['improve'],['improv']
online,['online'],['onlin']
experience,['experience'],['experi']
website.,['website'],['websit']
accept,['accept'],['accept']
cookies,['cookies'],['cooki']
continue,['continue'],['continu']
browsing,['browsing'],['brows']
normal,['normal'],['normal']
else,['else'],['els']
manage,['manage'],['manag']
browser,['browser'],['browser']
settings.,['settings'],['set']
"Okay,",['okay'],['okay']
Thanks,['thanks'],['thank']
Receive,['receive'],['receiv']
Deal,['deal'],['deal']
Alert,['alert'],['alert']
Join,['join'],['join']
million,['million'],['million']
seasoned,['seasoned'],['season']
travelers,['travelers'],['travel']
using,['using'],['use']
Fly.com,['fly.com'],['flycom']
every,['every'],['everi']
month,['month'],['month']
find,['find'],['find']
best,['best'],['best']
airfare,['airfare'],['airfar']
deals.,['deals'],['deal']
Sign,['sign'],['sign']
Customer,['customer'],['custom']
Support,['support'],['support']
Need,['need'],['need']
customer,['customer'],['custom']
care,['care'],['care']
support,['support'],['support']
question,['question'],['question']
regarding,['regarding'],['regard']
travel,['travel'],['travel']
plans?,['plans'],['plan']
Get,['get'],['get']
answers,['answers'],['answer']
Call,['call'],['call']
exclusive,['exclusive'],['exclus']
fares!,['fares'],['fare']
Connect,['connect'],['connect']
us,['us'],['us']
Join,['join'],['join']
million,['million'],['million']
seasoned,['seasoned'],['season']
travelers,['travelers'],['travel']
using,['using'],['use']
Fly.com,['fly.com'],['flycom']
every,['every'],['everi']
month,['month'],['month']
find,['find'],['find']
best,['best'],['best']
airfare,['airfare'],['airfar']
deals.,['deals'],['deal']
Fly.comTM,['fly.comtm'],['flycomtm']
years,['years'],['year']
Fly.com,['fly.com'],['flycom']
leader,['leader'],['leader']
cheap,['cheap'],['cheap']
flights,['flights'],['flight']
discount,['discount'],['discount']
airline,['airline'],['airlin']
tickets.,['tickets'],['ticket']
Join,['join'],['join']
millions,['millions'],['million']
customers,['customers'],['custom']
used,['used'],['use']
Fly.com,['fly.com'],['flycom']
compare,['compare'],['compar']
prices,['prices'],['price']
hundreds,['hundreds'],['hundr']
airfare,['airfare'],['airfar']
providers.,['providers'],['provid']
Travel,['travel'],['travel']
Destinations,['destinations'],['destin']
London,['london'],['london']
Rome,['rome'],['rome']
New,['new'],['new']
York,['york'],['york']
Las,['las'],['la']
Vegas,['vegas'],['vega']
Paris,['paris'],['pari']
Destination,['destination'],['destin']
Travel,['travel'],['travel']
Airlines,['airlines'],['airlin']
British,['british'],['british']
Airways,['airways'],['airway']
Emirates,['emirates'],['emir']
Airlines,['airlines'],['airlin']
JetBlue,['jetblue'],['jetblu']
Airways,['airways'],['airway']
Korean,['korean'],['korean']
Air,['air'],['air']
Lufthansa,['lufthansa'],['lufthansa']
Airlines,['airlines'],['airlin']
United,['united'],['unit']
Airlines,['airlines'],['airlin']
Airlines,['airlines'],['airlin']
Special,['special'],['special']
Deals,['deals'],['deal']
Budget,['budget'],['budget']
Flights,['flights'],['flight']
Last,['last'],['last']
Minute,['minute'],['minut']
Deals,['deals'],['deal']
Domestic,['domestic'],['domest']
Flight,['flight'],['flight']
Deals,['deals'],['deal']
International,['international'],['intern']
Flight,['flight'],['flight']
Deals,['deals'],['deal']
One,['one'],['one']
Way,['way'],['way']
Deals,['deals'],['deal']
Round,['round'],['round']
Trip,['trip'],['trip']
Deals,['deals'],['deal']
Cheap,['cheap'],['cheap']
Flight,['flight'],['flight']
Deals,['deals'],['deal']
Fly,['fly'],['fli']
Us,['us'],['us']
Deals,['deals'],['deal']
Press,['press'],['press']
Room,['room'],['room']
Help,['help'],['help']
Contact,['contact'],['contact']
Us,['us'],['us']
Privacy,['privacy'],['privaci']
Policy,['policy'],['polici']
Disclaimer,['disclaimer'],['disclaim']
Site,['site'],['site']
Map,['map'],['map']
Fly.com,['fly.com'],['flycom']
